entity,sourceCode,sourceName,accountType,normalBalance,isActive,migrationStatus,confidence,notes
ASAS,1001,เงินสดในเครื่องเก็บเงิน,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1011,เงินสดย่อย,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1021,เงินฝากธนาคาร,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1031,เงินสดระหว่างทาง,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1041,เงินลงทุนระยะสั้น,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1051,ตั๋วเงินรับ,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1101,ลูกหนี้การค้า - ห้างสรรพสินค้า,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1111,ลูกหนี้การค้า - แฟรนไชส์,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1121,ลูกหนี้การค้า - อื่น,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1141,ค่าเผื่อหนี้สงสัยจะสูญ - ห้างสรรพสินค้า,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,1142,ค่าเผื่อหนี้สงสัยจะสูญ - แฟรนไชส์,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,1143,ค่าเผื่อหนี้สงสัยจะสูญ - อื่น,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,1131,ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1161,เงินให้กู้ยืมระยะสั้นแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1301,เครื่องจักรและอุปกรณ์,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1302,ลูกกุญแจ,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1303,วัสดุรองเท้า,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1304,แม่กุญแจ,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1305,เบ็ดเตล็ด,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1306,วัสดุสิ้นเปลือง,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,1307,แบตเตอรี่,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1311,สินค้าระหว่างทาง,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1312,ค่าภาษีอากรขาเข้า,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1313,ค่าระวาง ค่าขนส่ง,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1314,ค่าประกันภัย,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1315,ค่าใช้จ่ายอื่น ๆ ในการออกของ,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1321,ชิ้นส่วนและอะไหล่,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,1351,วัสดุและอุปกรณ์,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
