accountCode,accountName,debit,credit,effectiveDate,source
1,ทุนหุ้นสามัญ,0.00,2000000.00,2026-01-01,ASAS FinReport TB
101,สำรองตามกฎหมาย,0.00,200000.00,2026-01-01,ASAS FinReport TB
301,กำไร (ขาดทุน) สะสม,0.00,1979770.51,2026-01-01,ASAS FinReport TB
1001,เงินสดในเครื่องเก็บเงิน,67190.00,0.00,2026-01-01,ASAS FinReport TB
1011,เงินสดย่อย,60000.00,0.00,2026-01-01,ASAS FinReport TB
1021,เงินฝากธนาคาร,1708002.29,0.00,2026-01-01,ASAS FinReport TB
1101,ลูกหนี้การค้า - ห้างสรรพสินค้า,227464.10,0.00,2026-01-01,ASAS FinReport TB
1302,ลูกกุญแจ,957277.27,0.00,2026-01-01,ASAS FinReport TB
1303,วัสดุรองเท้า,1292601.54,0.00,2026-01-01,ASAS FinReport TB
1305,เบ็ดเตล็ด,212.00,0.00,2026-01-01,ASAS FinReport TB
1306,วัสดุสิ้นเปลือง,18034.50,0.00,2026-01-01,ASAS FinReport TB
1421,ค่าเบี้ยประกันภัยจ่ายล่วงหน้า,25225.00,0.00,2026-01-01,ASAS FinReport TB
1431,ค่าใช้จ่ายล่วงหน้าอื่น ๆ,29939.00,0.00,2026-01-01,ASAS FinReport TB
1451,ค่าภาษีเงินได้จ่ายล่วงหน้า,11060.47,0.00,2026-01-01,ASAS FinReport TB
1452,ภาษีซื้อ,8834.55,0.00,2026-01-01,ASAS FinReport TB
2211,เครื่องจักรและอุปกรณ์ในการดำเนินงาน,12505553.43,0.00,2026-01-01,ASAS FinReport TB
2212,เครื่องตกแต่งในการดำเนินงาน,104500.00,0.00,2026-01-01,ASAS FinReport TB
2221,เครื่องใช้และอุปกรณ์สำนักงาน,564476.72,0.00,2026-01-01,ASAS FinReport TB
2231,สิ่งปรับปรุงสินทรัพย์-สำนักงานใหญ่,168350.80,0.00,2026-01-01,ASAS FinReport TB
2232,สิ่งปรับปรุงสินทรัพย์-สาขา,2160729.52,0.00,2026-01-01,ASAS FinReport TB
2235,เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร,686200.00,0.00,2026-01-01,ASAS FinReport TB
2236,สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร,106250.00,0.00,2026-01-01,ASAS FinReport TB
2261,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,0.00,12195767.42,2026-01-01,ASAS FinReport TB
2262,ค่าเสื่อมราคาสะสม - เครื่องตกแต่งในการดำเนินงาน,0.00,104497.00,2026-01-01,ASAS FinReport TB
2271,ค่าเสื่อมราคาสะสม - เครื่องใช้และอุปกรณ์สำนักงาน,0.00,484177.65,2026-01-01,ASAS FinReport TB
2281,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่,0.00,27190.19,2026-01-01,ASAS FinReport TB
2282,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สาขา,0.00,1747630.36,2026-01-01,ASAS FinReport TB
2285,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร,0.00,686169.00,2026-01-01,ASAS FinReport TB
2286,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร,0.00,106240.00,2026-01-01,ASAS FinReport TB
3001,เงินประกันและเงินมัดจำ,1579160.63,0.00,2026-01-01,ASAS FinReport TB
4101,เจ้าหนี้การค้า,0.00,37814.51,2026-01-01,ASAS FinReport TB
4151,เจ้าหนี้บริษัทที่เกี่ยวข้องกัน,0.00,1207708.75,2026-01-01,ASAS FinReport TB
4501,เงินเดือนค้างจ่าย,0.00,387760.00,2026-01-01,ASAS FinReport TB
4502,เงินสะสมพนักงาน,0.00,54379.00,2026-01-01,ASAS FinReport TB
4551,ค่าตรวจสอบบัญชีค้างจ่าย,0.00,20000.00,2026-01-01,ASAS FinReport TB
4561,ค่าใช้จ่ายอื่น ๆ ค้างจ่าย,0.00,83402.67,2026-01-01,ASAS FinReport TB
4602,ภาษีมูลค่าเพิ่มค้างจ่าย,0.00,48785.02,2026-01-01,ASAS FinReport TB
4611,ภาษีเงินได้พนักงาน หัก ณ.ที่จ่ายค้างจ่าย,0.00,19369.00,2026-01-01,ASAS FinReport TB
4612,ภาษีเงินได้ หัก ณ.ที่จ่ายค้างจ่าย,0.00,3936.74,2026-01-01,ASAS FinReport TB
4631,ประกันสังคมค้างจ่าย,0.00,20150.00,2026-01-01,ASAS FinReport TB
4901,ภาระผูกพันผลประโยชน์พนักงาน,0.00,866314.00,2026-01-01,ASAS FinReport TB
