productCode,productName,asadQty,asasQty,combinedQty,asadValue,asasValue,combinedValue,overlapType,confidence
1301,ยอดรวมเครื่องจักรและอุปกรณ์,9,0,9,0,0,0,ASAD_ONLY,HIGH
1302,ยอดรวมลูกกุญแจ,23595,3927,27522,0,0,0,BOTH_POSSIBLE_DUPLICATE,HIGH
1303,ยอดรวมวัสดุรองเท้า,31474,1642,33116,0,0,0,BOTH_POSSIBLE_DUPLICATE,HIGH
1304,ยอดรวมแม่กุญแจ,8,0,8,0,0,0,ASAD_ONLY,HIGH
1019018,กุญแจบ้าน(เล็ก)ธรรมดาของใน,6182,1236,7418,0,0,0,BOTH_DISTINCT,HIGH
1019025,กุญแจบ้าน(ใหญ่)ธรรมดาของใน,7563,2046,9609,0,0,0,BOTH_DISTINCT,HIGH
1029017,กุญแจบ้านบิทของในแบบที่ 1,5,25,30,0,0,0,BOTH_DISTINCT,HIGH
1029024,กุญแจบ้านบิทของในแบบที่ 2,472,135,607,0,0,0,BOTH_DISTINCT,HIGH
1039016,กุญแจบ้านครอสของใน,97,19,116,0,0,0,BOTH_DISTINCT,HIGH
1049015,กุญแจบ้านพิเศษของใน,681,229,910,0,0,0,BOTH_DISTINCT,HIGH
1059014,กุญแจบ้าน(ตัด/นิเคิล)พิเศษของในแบบที่ 1,361,28,389,0,0,0,BOTH_DISTINCT,HIGH
1059021,กุญแจบ้าน(ตัด/นิเคิล)พิเศษของในแบบที่ 2,866,185,1051,0,0,0,BOTH_DISTINCT,HIGH
11019015,กุญแจรถแบบธรรมดาของใน,1291,0,1291,0,0,0,ASAD_ONLY,HIGH
12019014,กุญแจมอเตอร์ไซค์แบบธรรมดาของใน,1810,0,1810,0,0,0,ASAD_ONLY,HIGH
21019012,กุญแจรถหัวยางของในแบบธรรมดาแบบที่ 1,226,0,226,0,0,0,ASAD_ONLY,HIGH
21019029,กุญแจรถหัวยางของในแบบธรรมดาแบบที่ 2,884,0,884,0,0,0,ASAD_ONLY,HIGH
21029011,กุญแจรถหัวยางของในมีสติ๊กเกอร์,715,0,715,0,0,0,ASAD_ONLY,HIGH
21039010,กุญแจรถพิเศษแบบอื่น ๆ,410,0,410,0,0,0,ASAD_ONLY,HIGH
22019011,กุญแจมอเตอร์ไซค์หัวยางของในแบบธรรมดา,789,0,789,0,0,0,ASAD_ONLY,HIGH
22029010,กุญแจมอเตอร์ไซค์หัวยางของในแบบมีสติ๊กเกอร์,440,0,440,0,0,0,ASAD_ONLY,HIGH
31019019,กุญแจรถตัดเลเซอร์ของในแบบธรรมดา,268,0,268,0,0,0,ASAD_ONLY,HIGH
31029018,กุญแจรถตัดเลเซอร์ของในแบบมีสติ๊กเกอร์,139,4,143,0,0,0,BOTH_DISTINCT,HIGH
31039017,กุญแจตัดเลเซอร์ของในแบบดัดแปลง,19,0,19,0,0,0,ASAD_ONLY,HIGH
31039024,กุญแจตัดเลเซอร์ของในแบบเจาะรู,211,17,228,0,0,0,BOTH_DISTINCT,HIGH
36019014,กุญแจ Immobilizer แบบธรรมดา,39,0,39,0,0,0,ASAD_ONLY,HIGH
41010082,"HONDA, TOYOTA 2,3,4 BUTTON",127,3,130,0,0,0,BOTH_DISTINCT,HIGH
51010010,CREPINA # 25,19,0,19,0,0,0,ASAD_ONLY,HIGH
51010027,CREPINA # 21,390,0,390,0,0,0,ASAD_ONLY,HIGH
51010041,CREPINA # 18,374,0,374,0,0,0,ASAD_ONLY,HIGH
51010058,CREPINA # 122,317,0,317,0,0,0,ASAD_ONLY,HIGH
51010065,CREPINA # 116,2715,0,2715,0,0,0,ASAD_ONLY,HIGH
51030031,LUXE TOPLIFT # XL,4632,327,4959,43865.04,0,43865.04,BOTH_DISTINCT,HIGH
51030041,"LUXE TOPLIFT # M,L",1007,55,1062,8378.24,0,8378.24,BOTH_DISTINCT,HIGH
51030051,BI-COMPONENT # XL (20),523,0,523,6171.4,0,6171.4,ASAD_ONLY,HIGH
51030061,"BI-COMPONENT # M,L (16,17)",2681,16,2697,29142.47,0,29142.47,BOTH_DISTINCT,HIGH
55010016,ATILA HALF SOLE BLACK # H,92,0,92,3105.92,0,3105.92,ASAD_ONLY,HIGH
55020053,NATURAL SOLE,336,0,336,0,0,0,ASAD_ONLY,HIGH
55030014,TPU RING HALE # 3,10,0,10,0,0,0,ASAD_ONLY,HIGH
55030021,TPU DIAMANTINE HALF SOLE #3,1960,312,2272,0,0,0,BOTH_DISTINCT,HIGH
55040011,TPU DIAMOND HALF SOLE # 3,3613,352,3965,153769.28,0,153769.28,BOTH_DISTINCT,HIGH
55040021,TPU BELLA HALF SOLE # 3,85,32,117,3617.6,0,3617.6,BOTH_DISTINCT,HIGH
55070019,TPU WAVE HALF SOLE # 3,7,13,20,177.31,0,177.31,BOTH_DISTINCT,HIGH
55080011,GALAXY HALF SOLE # F,17,0,17,445.4,0,445.4,ASAD_ONLY,HIGH
55990011,CONTI CORSO # D,110,0,110,0,0,0,ASAD_ONLY,HIGH
61010024,LOGO HEEL # 70,416,0,416,0,0,0,ASAD_ONLY,HIGH
61040014,"LEATHER HEEL # 00,# 8",542,0,542,0,0,0,ASAD_ONLY,HIGH
61070059,TPU CHIC MIRROR HEEL #3,54,7,61,4377.24,0,4377.24,BOTH_DISTINCT,HIGH
61100011,GALAXY HEEL,408,0,408,11974.8,0,11974.8,ASAD_ONLY,HIGH
61110011,OCEAN HEEL,779,1,780,27358.48,0,27358.48,BOTH_DISTINCT,HIGH
61120011,TPU HEEL BLACK # 2,21,0,21,1128.33,0,1128.33,ASAD_ONLY,HIGH
65010013,LOGO SOLE # 5,1712,0,1712,0,0,0,ASAD_ONLY,HIGH
65030011,TPU LIGHT HALF SOLE # 5,3037,209,3246,87404.86,0,87404.86,BOTH_DISTINCT,HIGH
65030028,TPU BALLERINA HALE SOLE # 5,1161,125,1286,44466.3,0,44466.3,BOTH_DISTINCT,HIGH
65050019,TPU MIRROR HALF SOLE # 5,261,19,280,13222.26,0,13222.26,BOTH_DISTINCT,HIGH
65100011,VIBRAM LONG SOLE # 45/46,81,0,81,0,0,0,ASAD_ONLY,HIGH
65120062,PIRA,451,0,451,0,0,0,ASAD_ONLY,HIGH
65150011,GALAXY HALF SOLE # H,1135,60,1195,0,0,0,BOTH_DISTINCT,HIGH
65160011,OCEAN HALF SOLE # H,1199,61,1260,0,0,0,BOTH_DISTINCT,HIGH
65170011,TPU HALF SOLE BLACK # 3,40,0,40,0,0,0,ASAD_ONLY,HIGH
65180013,STARS HALF SOLE,1200,27,1227,0,0,0,BOTH_DISTINCT,HIGH
70030037,LEATHER INNERSOLE,21,13,34,0,0,0,BOTH_DISTINCT,HIGH
80010012,แผ่นรองพื้นรองเท้า,50,13,63,0,0,0,BOTH_DISTINCT,HIGH
91010032,เครื่องตัดกุญแจธรรมดา - Delta Semi Auto,3,0,3,0,0,0,ASAD_ONLY,HIGH
91050038,เครื่องซ่อมรองเท้า-Finisher,1,0,1,0,0,0,ASAD_ONLY,HIGH
91050045,เครื่องอัดพื้นรองเท้า-Sole Press,2,0,2,0,0,0,ASAD_ONLY,HIGH
91050120,เครื่องเย็บรองเท้า-Patching Machine,3,0,3,0,0,0,ASAD_ONLY,HIGH
92020030,PUSHBUTTON LOCK-UNICAN HEAVY DUTY,2,0,2,0,0,0,ASAD_ONLY,HIGH
92020047,STILE LOCK-UNICAN NARROW WITH DIRVE ASSEMBLY,2,0,2,0,0,0,ASAD_ONLY,HIGH
92020080,กุญแจลูกบิด Electronic สีนิกเกิ้ลด้าน,1,0,1,0,0,0,ASAD_ONLY,HIGH
92020090,กุญแจ Deadbolt Electronic สีนิกเกิ้ลด้าน,1,0,1,0,0,0,ASAD_ONLY,HIGH
92020100,กุญแจดิจิตอลสำหรับกระจกบานเปลือย,1,0,1,0,0,0,ASAD_ONLY,HIGH
92020110,กุญแจก้านโยก Electronic สีนิกเกิ้ลด้าน,1,0,1,0,0,0,ASAD_ONLY,HIGH
99999999,ส้นและพื้นรองเท้าไม่มีบาร์โค้ด,18,0,18,0,0,0,ASAD_ONLY,HIGH
