productCode,productName,endingQty,endingAmount,rowType,excludeFromImport,confidence,sourceSheet,sourceRow
1019018,กุญแจ(เล็ก)บ้านธรรมดาของใน,105.00,1471.96,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),91
1019025,กุญแจ(ใหญ่)บ้านธรรมดาของใน,745.00,10443.93,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),131
1029017,กุญแจบ้านบิทของในแบบที่ 1,30.00,504.67,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),169
1029024,กุญแจบ้านบิทของในแบบที่ 2,60.00,1009.34,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),237
1039016,กุญแจบ้านครอสของใน,20.00,897.20,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),272
1049015,กุญแจบ้านพิเศษของใน,220.00,4112.15,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),314
1059014,กุญแจบ้าน(ตัด/นิเคิล)พิเศษของในแบบที่ 1,30.00,841.12,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),369
1059021,กุญแจบ้าน(ตัด/นิเคิล)พิเศษของในแบบที่ 2,50.00,3504.67,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),428
11019015,กุญแจรถแบบธรรมดาของใน,5.00,116.82,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),532
12019014,กุญแจมอเตอร์ไซค์แบบธรรมดาของใน,10.00,102.80,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),587
21019012,กุญแจรถหัวยางของในแบบธรรมดาแบบที่ 1,5.00,140.19,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),678
21019029,กุญแจรถหัวยางของในแบบธรรมดาแบบที่ 2,5.00,186.92,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),748
21029011,กุญแจรถหัวยางของในมีสติ๊กเกอร์,10.00,467.29,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),817
21039010,กุญแจรถพิเศษแบบอื่น ๆ,5.00,420.56,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),877
22019011,กุญแจมอเตอร์ไซค์หัวยางของในแบบธรรมดา,10.00,233.64,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),908
22029010,กุญแจมอเตอร์ไซค์หัวยางของในแบบมีสติ๊กเกอร์,5.00,88.79,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),925
31019019,กุญแจรถตัดเลเซอร์ของในแบบธรรมดา,5.00,514.02,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),989
31029018,กุญแจรถตัดเลเซอร์ของในแบบมีสติ๊กเกอร์,5.00,771.03,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1022
31039017,กุญแจตัดเลเซอร์ของในแบบดัดแปลง,5.00,303.74,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1073
31039024,กุญแจตัดเลเซอร์ของในแบบเจาะรู,20.00,2056.07,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1106
35019015,กุญแจรถตัดเลเซอร์ของนอกแบบธรรมดา,7.00,522.19,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1109
41010082,"HONDA, TOYOTA 2,3,4 BUTTON",25.00,4205.61,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1130
41010099,แบตเตอรี่รีโมท,30.00,472.00,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1152
41010105,"แบตเตอรี่รีโมท CR2430 , CR2450",10.00,320.00,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1159
41010112,KEY TAG,30.00,1028.04,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1164
41010129,KEY CARD,16.00,548.25,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1167
51010010,CREPINA # 25,19.00,426.17,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1171
51030031,LUXE TOPLIFT # XL,120.00,10093.46,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1203
51030041,"LUXE TOPLIFT # M,L",10.00,794.39,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1215
51030051,BI-COMPONENT # XL (20),20.00,1401.86,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1221
51030061,"BI-COMPONENT # M,L (16,17)",20.00,1308.41,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1239
51040017,NORINA # 42,49.00,1602.80,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1246
51040024,NORINA # 38,19.00,621.49,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1250
55010016,ATILA HALF SOLE BLACK # H,1.00,140.19,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1253
55020015,ATILA HALF SOLE BEIGE # H,3.00,420.51,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1256
55020053,NATURAL SOLE,10.00,794.39,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1264
55030014,TPU RING HALE # 3,8.00,1869.17,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1267
55030021,TPU DIAMANTINE HALF SOLE #3,70.00,26168.22,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1286
55040011,TPU DIAMOND HALF SOLE # 3,120.00,44859.81,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1309
55040021,TPU BELLA HALF SOLE # 3,20.00,7476.64,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1332
55060099,PIRA,63.00,2649.46,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1336
55070019,TPU WAVE HALF SOLE # 3,40.00,9345.79,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1341
55080011,GALAXY HALF SOLE # F,16.00,2242.79,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1344
61040014,"LEATHER HEEL #00, #8",20.00,2149.53,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1371
61070011,TPU CHIC LEATHER HEEL #3,15.00,3504.84,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1377
61070059,TPU CHIC MIRROR HEEL #3,9.00,2102.80,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1389
61100011,GALAXY HEEL,30.00,6728.98,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1402
61110011,OCEAN HEEL,20.00,4112.15,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1413
61120011,TPU HEEL BLACK # 2,11.00,1939.47,PRODUCT,false,MEDIUM,Stock-2025-ASAS.xlsx/Cost (ด.12),1416
