month,openingQty,openingAmount,receiptQty,receiptAmount,issueQty,endingQty,endingUnitCost,endingAmount_stockCard,endingAmount_stock2025,endingAmount_legacyCost12,variance_stockVsLegacy,notes,stockCardRow
มกราคม,721,29025.83,0,0.00,35,686,,27616.81,,,,,24
กุมภาพันธ์,686,27616.81,0,0.00,20,666,,26811.65,,,,,39
มีนาคม,666,26811.65,0,0.00,30,636,,25603.92,,,,,54
เมษายน,636,25603.92,0,0.00,15,621,,25000.06,,,,,69
พฤษภาคม,621,25000.06,0,0.00,33,588,,23671.55,,,,,84
มิถุนายน,588,23671.55,0,0.00,30,558,,22463.82,,,,,99
กรกฎาคม,558,22463.82,0,0.00,30,528,,21256.09,,,,,114
สิงหาคม,528,21256.09,0,0.00,20,508,,20450.93,,,,,129
กันยายน,508,20450.93,0,0.00,45,463,,18639.33,,,,,144
ตุลาคม,463,18639.33,0,0.00,25,438,,17632.89,17632.89,17632.89,,Oct — stock card matches both Cost12 snapshots,159
พฤศจิกายน,438,17632.89,0,0.00,30,408,,16425.16,17632.89,16425.16,1207.73,FIRST DIVERGENCE — Stock-2025 carries stale Oct amount,174
ธันวาคม,408,16425.16,0,0.00,0,407.999999999,,16425.16,17632.89,16425.16,1207.73,Dec close — Stock-2025 still stale; GL matches stock card,191
