relative_path,kind,size_bytes,category,module,purpose,sheet_count,sheet_names_preview
AsadData68.xls,workbook,3546624,TRANSACTION DATA,Finance,GL transaction dump (all journals),2,Data; CODE ที่ถูก
ASADForm-Voucher -JV-2026-01-12.xlsx,workbook,1923839,REFERENCE DATA,Finance,Printed voucher form templates (not ledger source),107,JV001 ด.1 (GLOBALHEELS SL);  JV002(ด.1); สรรพากร003(ด.1); ค่าตรวจJV004(ด.1); JV(005)(ด.1); JV(006)-ต้นทุน; ปป.69JV(007); JV008ด.2; +99 more
ASADForm-Voucher(Receipt).xlsx,workbook,171373,REFERENCE DATA,Finance,Printed voucher form templates (not ledger source),8,Received; Received (ASAS69); Received (ASAS6) (ด.8); Received (ASAS); Received (7); Received (ASAS2); Received (4); Received (5)
ASADForm-Voucher.xlsx,workbook,682237,REFERENCE DATA,Finance,Printed voucher form templates (not ledger source),39,Payment; Payment  (เงินเดือน); Payment ภาษี(กรมสรรพากร); Payment (คุณกิติ; Payment (เงินเดือน); Payment (คุณสมจิตร) ; Payment (คุณกิติ)ปันผล; Payment (คุณสมจิตร)ปันผล; +31 more
ASAD_Inventory202512.xls,workbook,5628416,MASTER DATA,Inventory + Finance,Dec 2025 inventory export with master data and movement,23,Data In; Data Out; Data Inventory; Product Detail; Product Group; Customer Detail; Supplier Detail; Price; +15 more
FinReport-202512.xls,workbook,539136,REPORT DATA,Finance,Year-end financial statements + trial balance,6,Trial Balance; Working Paper; Profit Loss; Profit Loss Compare; Balance Sheet; งบแสดงการเปลี่ยนแปลงส่วน
GJ-202512-no.1.xls,workbook,207360,TRANSACTION DATA,Finance,General journal register (Dec 2025),1,General Journal
GJ-202512_No.2.xls,workbook,138752,TRANSACTION DATA,Finance,General journal register (Dec 2025),1,General Journal
Purchase Tax2604.xlsx,workbook,15394,REPORT DATA,Tax,VAT return supporting schedule,1,VAT-IN (2)
Sales Tax2604.xlsx,workbook,13458,REPORT DATA,Tax,VAT return supporting schedule,1,Office
SJ000-202512.xls,workbook,64000,TRANSACTION DATA,Sales / Finance,Sales journal register (Dec 2025),1,Sales Journal
SJ001-202512.xls,workbook,63488,TRANSACTION DATA,Sales / Finance,Sales journal register (Dec 2025),1,Sales Journal
Stockcard2025/.xlsx,folder,78974,REFERENCE DATA,Unknown,Unclassified legacy artifact,,
Stockcard2025/2025-1019018.xlsx,workbook,91007,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1019025.xlsx,workbook,85873,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1029017.xlsx,workbook,77965,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1029024.xlsx,workbook,82779,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1039016.xlsx,workbook,82206,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1049015.xlsx,workbook,82025,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1059014.xlsx,workbook,81658,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-1059021.xlsx,workbook,81312,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-11019015.xlsx,workbook,157444,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
Stockcard2025/2025-12019014.xlsx,workbook,135198,REFERENCE DATA,Unknown,Unclassified legacy artifact,1,Stock Card
