section,line_label,note_ref,amount_2568_baht,amount_2567_baht,as_of_date
สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,1,908539.1200000001,2019587.37,2025-12-31
สินทรัพย์หมุนเวียน,เงินลงทุนชั่วคราว,,0,0,2025-12-31
สินทรัพย์หมุนเวียน,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,2,1529072.75,585697.25,2025-12-31
สินทรัพย์หมุนเวียน,เงินให้กู้ยืมระยะสั้น,,0,0,2025-12-31
สินทรัพย์หมุนเวียน,สินค้าคงเหลือ,,2007766.55,2036478.58,2025-12-31
สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนอื่น,3,0,0,2025-12-31
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,,4445378.42,4641763.2,2025-12-31
สินทรัพย์ไม่หมุนเวียน,เงินลงทุนเผื่อขาย,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในบริษัทร่วม,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในบริษัทย่อย,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในการร่วมค้า,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,เงินลงทุนระยะยาวอื่น,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,เงินให้กู้ยืมระยะยาว,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,อสังหาริมทรัพย์เพื่อการลงทุน,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนที่ถือไว้เพื่อขาย,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคารและอุปกรณ์ - สุทธิ,4,36,36,2025-12-31
สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่มีตัวตน,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,,0,,2025-12-31
สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนอื่น,5,12000,12000,2025-12-31
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,,12036,12036,2025-12-31
หนี้สินหมุนเวียน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,,0,0,2025-12-31
หนี้สินหมุนเวียน,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,6,254148.94,189804.11,2025-12-31
หนี้สินหมุนเวียน,ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,,0,0,2025-12-31
หนี้สินหมุนเวียน,เงินกู้ยืมระยะสั้น,,0,0,2025-12-31
หนี้สินหมุนเวียน,ภาษีเงินได้นิติบุคคลค้างจ่าย,,30082.600000000006,49783.53,2025-12-31
หนี้สินหมุนเวียน,ประมาณการหนี้สินระยะสั้น,,0,0,2025-12-31
หนี้สินหมุนเวียน,หนี้สินหมุนเวียนอื่น,7,36413.81,36910.58,2025-12-31
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,,320645.35,276498.22,2025-12-31
หนี้สินไม่หมุนเวียน,เงินกู้ยืมระยะยาว,,0,0,2025-12-31
หนี้สินไม่หมุนเวียน,หนี้สินภาษีเงินได้รอการตัดบัญชี,,0,0,2025-12-31
หนี้สินไม่หมุนเวียน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,,0,0,2025-12-31
หนี้สินไม่หมุนเวียน,ประมาณการหนี้สินระยะยาว,,0,0,2025-12-31
หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนอื่น,,0,0,2025-12-31
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,,0,0,2025-12-31
รวมหนี้สิน,รวมหนี้สิน,,320645.35,276498.22,2025-12-31
ส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,,0,,2025-12-31
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,,4136769.07,4377300.98,2025-12-31
รวมส่วนของผู้ถือหุ้น,เงินสด,,0,0,2025-12-31
รวมส่วนของผู้ถือหุ้น,เงินฝากธนาคาร,,908539.1200000001,2019587.37,2025-12-31
รวมส่วนของผู้ถือหุ้น,รวม เงินสดและรายการเทียบเท่าเงินสด,,908539.1200000001,2019587.37,2025-12-31
รวมส่วนของผู้ถือหุ้น,ลูกหนี้การค้าและตั๋วเงินรับ,,321364,323864,2025-12-31
รวมส่วนของผู้ถือหุ้น,หัก,,0,0,2025-12-31
รวมส่วนของผู้ถือหุ้น,ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน,,1207708.75,261833.25,2025-12-31
รวมส่วนของผู้ถือหุ้น,ดอกเบี้ยรับค้างรับ,,0,0,2025-12-31
รวมส่วนของผู้ถือหุ้น,ค่าเบี้ยประกันภัยจ่ายล่วงหน้า,,0,0,2025-12-31
รวมส่วนของผู้ถือหุ้น,ค่าใช้จ่ายล่วงหน้าอื่น ๆ,,0,0,2025-12-31
รวมส่วนของผู้ถือหุ้น,เงินมัดจำลูกหนี้อื่น,,0,0,2025-12-31
