account_code,account_name,inferred_type,inferred_group,parent_note
1001,เงินสดในเครื่องเก็บเงิน,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1011,เงินสดย่อย,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1021,เงินฝากธนาคาร,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1031,เงินสดระหว่างทาง,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1041,เงินลงทุนระยะสั้น,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1051,ตั๋วเงินรับ,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1101,ลูกหนี้การค้า - ห้างสรรพสินค้า,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1111,ลูกหนี้การค้า - แฟรนไชส์,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1121,ลูกหนี้การค้า - อื่น,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1141,ค่าเผื่อหนี้สงสัยจะสูญ - ห้างสรรพสินค้า,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1142,ค่าเผื่อหนี้สงสัยจะสูญ - แฟรนไชส์,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1143,ค่าเผื่อหนี้สงสัยจะสูญ - อื่น,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1131,ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1161,เงินให้กู้ยืมระยะสั้นแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1301,เครื่องจักรและอุปกรณ์,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1302,ลูกกุญแจ,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1303,วัสดุรองเท้า,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1304,แม่กุญแจ,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1305,เบ็ดเตล็ด,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1306,วัสดุสิ้นเปลือง,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1307,แบตเตอรี่,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1311,สินค้าระหว่างทาง,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1312,ค่าภาษีอากรขาเข้า,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1313,ค่าระวาง ค่าขนส่ง,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1314,ค่าประกันภัย,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1315,ค่าใช้จ่ายอื่น ๆ ในการออกของ,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1321,ชิ้นส่วนและอะไหล่,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1351,วัสดุและอุปกรณ์,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1391,สำรองค่าเผื่อสินค้าล้าสมัย,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1401,ดอกเบี้ยรับค้างรับ - อื่น,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1402,ดอกเบี้ยรับค้างรับ - บริษัทที่เกี่ยวข้องกัน,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1411,ค่าเช่าจ่ายล่วงหน้า,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1421,ค่าเบี้ยประกันภัยจ่ายล่วงหน้า,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1431,ค่าใช้จ่ายล่วงหน้าอื่น ๆ,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
1441,เงินมัดจำลูกหนี้อื่น,ASSET,CURRENT_ASSET,from TB row order; no explicit parent id
