line_label,amount_2568_baht,amount_2567_baht,period_end
รายได้จากการขายหรือการให้บริการ,4044317.23,3842109.55,2025-12-31
รายได้อื่น,0,3254.8,2025-12-31
รวมรายได้,4044317.23,3845364.35,2025-12-31
ต้นทุนขายหรือต้นทุนการให้บริการ,849678.52,890329.4,2025-12-31
ค่าใช้จ่ายในการขาย,45470,29776.74,2025-12-31
ค่าใช้จ่ายในการบริหาร,2307195.49,2027778.45,2025-12-31
ค่าใช้จ่ายอื่น,1422.53,108.22,2025-12-31
รวมค่าใช้จ่าย,3203766.54,2947992.81,2025-12-31
กำไร (ขาดทุน) ก่อนต้นทุนทางการเงินและภาษีเงินได้,840550.69,897371.54,2025-12-31
ต้นทุนทางการเงิน,0,0,2025-12-31
กำไร (ขาดทุน) ก่อนภาษีเงินได้,840550.69,897371.54,2025-12-31
ภาษีเงินได้,81082.6,72381.07,2025-12-31
กำไร (ขาดทุน) สุทธิ,759468.09,824990.47,2025-12-31
สินค้าคงเหลือต้นงวด,2036478.58,1664921.39,2025-12-31
บวก ซื้อ,397374.5,1261886.5900000003,2025-12-31
หัก สินค้าคงเหลือปลายงวด,1584174.56,2036478.58,2025-12-31
รวม ต้นทุนขายหรือต้นทุนการให้บริการ,849678.52,890329.4,2025-12-31
ขาดทุนจากการแลกเปลี่ยนเงินตราต่างประเทศ,1428.09,0,2025-12-31
ขาดทุนจากการจำหน่ายสินทรัพย์ถาวร,0,0,2025-12-31
ขาดทุนจากการปิดร้านที่จำหน่ายสินค้า,0,0,2025-12-31
หนี้สูญ,0,0,2025-12-31
รายได้หรือค่าใช้จ่ายที่ไม่เกี่ยวกับการบริหาร,-5.5600000000000005,108.22,2025-12-31
รวม ค่าใช้จ่ายอื่น,1422.53,108.22,2025-12-31
ค่าเช่าและค่าบริการ - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าไฟ - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าภาษีโรงเรือน - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าประกันภัย - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าโทรศัพท์ - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าใช้จ่ายทางการเงิน - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ - ร้านที่จำหน่ายสินค้า,0,0,2025-12-31
ค่าใช้จ่ายร้านที่ให้เช่าเครื่องจักร,0,0,2025-12-31
ค่าใช้จ่ายสำหรับร้าน,0,0,2025-12-31
เงินเดือน และค่าจ้าง,0,0,2025-12-31
ผลตอบแทนจากยอดขาย,0,0,2025-12-31
เงินที่จ่ายสมทบเข้าประกันสังคม,0,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานขาย,0,0,2025-12-31
ค่าฝึกอบรมพนักงานขาย,0,0,2025-12-31
ผลประโยชน์พนักงาน,0,0,2025-12-31
ค่าพาหนะ และค่าใช้จ่ายในการเดินทาง - พนักงานขาย,0,0,2025-12-31
ค่าแรงงานพนักงานขาย,0,0,2025-12-31
ค่าโฆษณาและส่งเสริมการขาย,0,,2025-12-31
ค่าเสื่อมราคา - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,0,0,2025-12-31
ค่าเสื่อมราคา - เครื่องตกแต่งในการดำเนินงาน,0,0,2025-12-31
ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สาขา,0,0,2025-12-31
ค่าเสื่อมราคา - ร้านที่ให้เช่าเครื่องจักร,0,0,2025-12-31
ค่าตัดจำหน่าย,0,0,2025-12-31
ค่าเสื่อมราคา,0,0,2025-12-31
ค่าวัสดุใช้สิ้นเปลือง,33970,29776.74,2025-12-31
ค่าซ่อมแซมรักษา,0,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการขาย,11500,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการให้เช่าเครื่องจักร,0,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการขาย,45470,29776.74,2025-12-31
รวมค่าใช้จ่ายในการขาย,45470,29776.74,2025-12-31
เงินเดือน และค่าจ้าง,1630000,1300000,2025-12-31
เงินที่จ่ายสมทบเข้าประกันสังคม,0,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานสำนักงาน,0,34188,2025-12-31
ค่าฝึกอบรมพนักงานสำนักงาน,0,0,2025-12-31
ผลประโยชน์พนักงาน,0,0,2025-12-31
ค่าพาหนะ และค่าใช้จ่ายในการเดินทาง - พนักงานสำนักงาน,945.77,143.92,2025-12-31
พนักงาน,1630945.77,1334331.92,2025-12-31
ค่าใช้จ่ายเกี่ยวกับรถยนต์,0,,2025-12-31
ค่าซ่อมแซมรถยนต์,0,,2025-12-31
ค่าเช่ารถยนต์,0,,2025-12-31
รถยนต์,0,0,2025-12-31
ค่าเช่าและค่าบริการ - สำนักงาน,80672.81,93991.68000000002,2025-12-31
ค่าไฟ - สำนักงาน,0,0,2025-12-31
ค่าประปา - สำนักงาน,0,0,2025-12-31
ค่าไปรษณียากร - สำนักงาน,0,0,2025-12-31
ค่าโทรศัพท์ โทรสาร - สำนักงาน,0,0,2025-12-31
ค่าซ่อมแซมและรักษา - สำนักงาน,0,0,2025-12-31
ค่าวัสดุใช้ในสำนักงาน,0,0,2025-12-31
ค่าใช้จ่ายเกี่ยวกับคอมพิวเตอร์,0,0,2025-12-31
ค่าเบี้ยประกันภัย,0,2410.85,2025-12-31
สำนักงาน,80672.81,96402.53,2025-12-31
ค่าส่งเสริมการขาย,0,0,2025-12-31
ค่าธรรมเนียมธนาคาร,1205,1694,2025-12-31
ค่ารับรอง,0,0,2025-12-31
ค่าภาษีธุรกิจเฉพาะ,0,0,2025-12-31
ค่าภาษีอากรอื่น ๆ,0,150,2025-12-31
ค่าการกุศลสาธารณะ,0,0,2025-12-31
รายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬา,0,0,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับบริหาร,-628.0899999999999,200,2025-12-31
ค่าใช้จ่ายอื่น ๆ เกี่ยวกับบริหาร,576.91,2044,2025-12-31
ค่าเสื่อมราคา - อาคาร,0,0,2025-12-31
ค่าเสื่อมราคา - เครื่องใช้และอุปกรณ์สำนักงาน,0,0,2025-12-31
ค่าเสื่อมราคา - เครื่องตกแต่งในสำนักงาน,0,0,2025-12-31
ค่าเสื่อมราคา - รถยนต์,0,0,2025-12-31
ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่,0,0,2025-12-31
ค่าตัดจำหน่าย,0,0,2025-12-31
ค่าเสื่อมราคา,0,0,2025-12-31
ค่าเบี้ยประชุมกรรมการ,0,0,2025-12-31
ค่าสอบบัญชี,10000,10000,2025-12-31
ค่าธรรมเนียมทางวิชาชีพ,585000,585000,2025-12-31
ค่าใช้จ่ายอื่นๆ เกี่ยวกับการจัดตั้งบริษัท,0,0,2025-12-31
ค่าใช้จ่ายอำนวยการ,595000,595000,2025-12-31
รวมค่าใช้จ่ายในการบริหาร,2307195.49,2027778.45,2025-12-31
รายได้จากการขาย,4044317.229999999,3842109.5500000003,2025-12-31
รายได้จากการให้เช่าเครื่องจักรและอุปกรณ์,0,0,2025-12-31
รายได้จากค่าบริการอื่น ๆ,0,0,2025-12-31
สินค้ารับคืนและส่วนลด,0,0,2025-12-31
รวม รายได้จากการขายหรือการให้บริการ,4044317.23,3842109.55,2025-12-31
ดอกเบี้ยรับจากธนาคาร,0,0,2025-12-31
ดอกเบี้ยรับจากบริษัทที่เกี่ยวข้อง,0,0,2025-12-31
ดอกเบี้ยรับจากกรรมการ,0,3254.8,2025-12-31
รายได้อื่น ๆ,0,0,2025-12-31
กำไรจากการแลกเปลี่ยนเงินตราต่างประเทศ,0,0,2025-12-31
กำไรจากการจำหน่ายสินทรัพย์ถาวร,0,0,2025-12-31
กำไรจากการปิดร้านที่จำหน่ายสินค้า,0,0,2025-12-31
หนี้สูญกลับคืน,0,0,2025-12-31
ผลประโยชน์พนักงาน,0,0,2025-12-31
รวม รายได้อื่น,0,3254.8,2025-12-31
