accountCode,accountName,accountType,normalBalance,parentAccountCode,isActive
1,ทุนหุ้นสามัญ,EQUITY,CREDIT,,true
101,สำรองตามกฎหมาย,EQUITY,CREDIT,,true
201,สำรองอื่น,EQUITY,CREDIT,,true
301,กำไร (ขาดทุน) สะสม,EQUITY,CREDIT,,true
1001,เงินสดในเครื่องเก็บเงิน,ASSET,DEBIT,,true
1011,เงินสดย่อย,ASSET,DEBIT,,true
1021,เงินฝากธนาคาร,ASSET,DEBIT,,true
1031,เงินสดระหว่างทาง,ASSET,DEBIT,,true
1041,เงินลงทุนระยะสั้น,ASSET,DEBIT,,true
1051,ตั๋วเงินรับ,ASSET,DEBIT,,true
1101,ลูกหนี้การค้า - ห้างสรรพสินค้า,ASSET,DEBIT,,true
1111,ลูกหนี้การค้า - แฟรนไชส์,ASSET,DEBIT,,true
1121,ลูกหนี้การค้า - อื่น,ASSET,DEBIT,,true
1131,ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน,ASSET,DEBIT,,true
1161,เงินให้กู้ยืมระยะสั้นแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน,ASSET,DEBIT,,true
1301,เครื่องจักรและอุปกรณ์,ASSET,DEBIT,,true
1302,ลูกกุญแจ,ASSET,DEBIT,,true
1303,วัสดุรองเท้า,ASSET,DEBIT,,true
1304,แม่กุญแจ,ASSET,DEBIT,,true
1305,เบ็ดเตล็ด,ASSET,DEBIT,,true
1306,วัสดุสิ้นเปลือง,ASSET,DEBIT,,true
1307,แบตเตอรี่,ASSET,DEBIT,,true
1311,สินค้าระหว่างทาง,ASSET,DEBIT,,true
1312,ค่าภาษีอากรขาเข้า,ASSET,DEBIT,,true
1313,ค่าระวาง ค่าขนส่ง,ASSET,DEBIT,,true
1314,ค่าประกันภัย,ASSET,DEBIT,,true
1315,ค่าใช้จ่ายอื่น ๆ ในการออกของ,ASSET,DEBIT,,true
1321,ชิ้นส่วนและอะไหล่,ASSET,DEBIT,,true
1351,วัสดุและอุปกรณ์,ASSET,DEBIT,,true
1401,ดอกเบี้ยรับค้างรับ - อื่น,ASSET,DEBIT,,true
1402,ดอกเบี้ยรับค้างรับ - บริษัทที่เกี่ยวข้องกัน,ASSET,DEBIT,,true
1411,ค่าเช่าจ่ายล่วงหน้า,ASSET,DEBIT,,true
1421,ค่าเบี้ยประกันภัยจ่ายล่วงหน้า,ASSET,DEBIT,,true
1431,ค่าใช้จ่ายล่วงหน้าอื่น ๆ,ASSET,DEBIT,,true
1441,เงินมัดจำลูกหนี้อื่น,ASSET,DEBIT,,true
1451,ค่าภาษีเงินได้จ่ายล่วงหน้า,ASSET,DEBIT,,true
1452,ภาษีซื้อ,ASSET,DEBIT,,true
1453,ภาษีมูลค่าเพิ่มขอคืน,ASSET,DEBIT,,true
1461,เงินเดือนเบิกล่วงหน้า,ASSET,DEBIT,,true
1471,ค่าเดินทางเบิกล่วงหน้า,ASSET,DEBIT,,true
2001,เงินลงทุนในบริษัทร่วม บริษัทย่อย และการร่วมค้า,ASSET,DEBIT,,true
2101,เงินลงทุนระยะยาวอื่น,ASSET,DEBIT,,true
2111,เงินให้กู้ยืมระยะยาวแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน,ASSET,DEBIT,,true
2201,ที่ดิน,ASSET,DEBIT,,true
2202,อาคารชุด,ASSET,DEBIT,,true
2211,เครื่องจักรและอุปกรณ์ในการดำเนินงาน,ASSET,DEBIT,,true
2212,เครื่องตกแต่งในการดำเนินงาน,ASSET,DEBIT,,true
2221,เครื่องใช้และอุปกรณ์สำนักงาน,ASSET,DEBIT,,true
2222,เครื่องตกแต่งสำนักงาน,ASSET,DEBIT,,true
2223,รถยนต์,ASSET,DEBIT,,true
2231,สิ่งปรับปรุงสินทรัพย์-สำนักงานใหญ่,ASSET,DEBIT,,true
2232,สิ่งปรับปรุงสินทรัพย์-สาขา,ASSET,DEBIT,,true
2235,เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร,ASSET,DEBIT,,true
2236,สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร,ASSET,DEBIT,,true
2240,เครื่องจักรและอุปกรณ์ระหว่างทาง,ASSET,DEBIT,,true
3001,เงินประกันและเงินมัดจำ,ASSET,DEBIT,,true
3101,สิทธิการเช่า,ASSET,DEBIT,,true
3201,ดอกเบี้ยรอการตัดบัญชี,ASSET,DEBIT,,true
3301,ภาษีเงินได้ถูกหักภาษี ณ. ที่จ่าย (รอขอคืนจากกรมสรรพากร),ASSET,DEBIT,,true
4001,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,LIABILITY,CREDIT,,true
4002,ตั๋วเงินจ่าย,LIABILITY,CREDIT,,true
4101,เจ้าหนี้การค้า,LIABILITY,CREDIT,,true
4151,เจ้าหนี้บริษัทที่เกี่ยวข้องกัน,LIABILITY,CREDIT,,true
4201,เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,LIABILITY,CREDIT,,true
4202,เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,LIABILITY,CREDIT,,true
4301,เงินปันผลค้างจ่าย,LIABILITY,CREDIT,,true
4401,ภาษีเงินได้นิติบุคคลค้างจ่าย,LIABILITY,CREDIT,,true
4501,เงินเดือนค้างจ่าย,LIABILITY,CREDIT,,true
4502,เงินสะสมพนักงาน,LIABILITY,CREDIT,,true
4511,รายได้รับล่วงหน้า,LIABILITY,CREDIT,,true
4521,ค่าเช่าค้างจ่าย,LIABILITY,CREDIT,,true
4531,ค่าเบี้ยประกันภัยค้างจ่าย,LIABILITY,CREDIT,,true
4541,ค่าโทรศัพท์ ค่าโทรสาร ค้างจ่าย,LIABILITY,CREDIT,,true
4551,ค่าตรวจสอบบัญชีค้างจ่าย,LIABILITY,CREDIT,,true
4561,ค่าใช้จ่ายอื่น ๆ ค้างจ่าย,LIABILITY,CREDIT,,true
4571,ดอกเบี้ยจ่ายค้างจ่าย,LIABILITY,CREDIT,,true
