accountCode,accountName,debit,credit,effectiveDate,source
1,ทุนหุ้นสามัญ,0.00,2000000.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
101,สำรองตามกฎหมาย,0.00,200000.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
301,กำไร (ขาดทุน) สะสม,0.00,1936769.07,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1021,เงินฝากธนาคาร,908539.12,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1121,ลูกหนี้การค้า - อื่น,321364.00,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1131,ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน,1207708.75,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1301,เครื่องจักรและอุปกรณ์,324252.50,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1302,ลูกกุญแจ,269409.19,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1303,วัสดุรองเท้า,921940.13,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1304,แม่กุญแจ,68572.74,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
1311,สินค้าระหว่างทาง,423591.99,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
2211,เครื่องจักรและอุปกรณ์ในการดำเนินงาน,188170.80,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
2221,เครื่องใช้และอุปกรณ์สำนักงาน,335582.26,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
2222,เครื่องตกแต่งสำนักงาน,29149.40,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
2261,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,0.00,188167.80,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
2271,ค่าเสื่อมราคาสะสม - เครื่องใช้และอุปกรณ์สำนักงาน,0.00,335566.26,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
2272,ค่าเสื่อมราคาสะสม - เครื่องตกแต่งสำนักงาน,0.00,29132.40,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
3001,เงินประกันและเงินมัดจำ,12000.00,0.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4101,เจ้าหนี้การค้า,0.00,27948.94,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4501,เงินเดือนค้างจ่าย,0.00,130000.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4551,ค่าตรวจสอบบัญชีค้างจ่าย,0.00,10000.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4561,ค่าใช้จ่ายอื่น ๆ ค้างจ่าย,0.00,96200.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4602,ภาษีมูลค่าเพิ่มค้างจ่าย,0.00,11572.63,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4611,ภาษีเงินได้พนักงาน หัก ณ.ที่จ่ายค้างจ่าย,0.00,14466.00,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4612,ภาษีเงินได้ หัก ณ.ที่จ่ายค้างจ่าย,0.00,375.18,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
4613,ภาษีเงินได้นิติบุคคลค้างจ่าย,0.00,30082.60,2026-01-01,FinReport-202512.xls Trial Balance (P&L closed to 301)
