"Account","Account Type","Debit","Credit","Balance"
"1000 • Inventory","ASSET","0","20","-20"
"1001 • เงินสดในเครื่องเก็บเงิน","ASSET","0","0","0"
"1011 • เงินสดย่อย","ASSET","0","0","0"
"1021 • เงินฝากธนาคาร","ASSET","0","0","0"
"1021001 • เงินฝากธนาคารกรุงเทพ - บัญชีกระแสรายวัน 0266","ASSET","0","0","0"
"1021002 • เงินฝากธนาคารกรุงเทพ - บัญชีกระแสรายวัน 0274","ASSET","0","0","0"
"1021003 • เงินฝากธนาคารกรุงเทพ - บัญชีสะสมทรัพย์ 0806","ASSET","0","0","0"
"1031 • เงินสดระหว่างทาง","ASSET","0","0","0"
"1041 • เงินลงทุนระยะสั้น","ASSET","0","0","0"
"1051 • ตั๋วเงินรับ","ASSET","0","0","0"
"1100 • Cash","ASSET","200","0","200"
"1101 • ลูกหนี้การค้า - ห้างสรรพสินค้า","ASSET","0","0","0"
"1101001 • ลูกหนี้การค้า - บริษัท สรรพสินค้าเซ็นทรัล จำกัด สาขาชิดลม","ASSET","0","0","0"
"1110 • Card clearing","ASSET","0","0","0"
"1111 • ลูกหนี้การค้า - แฟรนไชส์","ASSET","0","0","0"
"1121 • ลูกหนี้การค้า - อื่น","ASSET","0","0","0"
"1131 • ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน","ASSET","0","0","0"
"1161 • เงินให้กู้ยืมระยะสั้นแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน","ASSET","0","0","0"
"1301 • เครื่องจักรและอุปกรณ์","ASSET","0","0","0"
"1302 • ลูกกุญแจ","ASSET","0","0","0"
"1303 • วัสดุรองเท้า","ASSET","0","0","0"
"1304 • แม่กุญแจ","ASSET","0","0","0"
"1305 • เบ็ดเตล็ด","ASSET","0","0","0"
"1306 • วัสดุสิ้นเปลือง","ASSET","0","0","0"
"1307 • แบตเตอรี่","ASSET","0","0","0"
"1311 • สินค้าระหว่างทาง","ASSET","0","0","0"
"1312 • ค่าภาษีอากรขาเข้า","ASSET","0","0","0"
"1313 • ค่าระวาง ค่าขนส่ง","ASSET","0","0","0"
"1314 • ค่าประกันภัย","ASSET","0","0","0"
"1315 • ค่าใช้จ่ายอื่น ๆ ในการออกของ","ASSET","0","0","0"
"1321 • ชิ้นส่วนและอะไหล่","ASSET","0","0","0"
"1351 • วัสดุและอุปกรณ์","ASSET","0","0","0"
"1401 • ดอกเบี้ยรับค้างรับ - อื่น","ASSET","0","0","0"
"1402 • ดอกเบี้ยรับค้างรับ - บริษัทที่เกี่ยวข้องกัน","ASSET","0","0","0"
"1411 • ค่าเช่าจ่ายล่วงหน้า","ASSET","0","0","0"
"1421 • ค่าเบี้ยประกันภัยจ่ายล่วงหน้า","ASSET","0","0","0"
"1431 • ค่าใช้จ่ายล่วงหน้าอื่น ๆ","ASSET","0","0","0"
"1441 • เงินมัดจำลูกหนี้อื่น","ASSET","0","0","0"
"1451 • ค่าภาษีเงินได้จ่ายล่วงหน้า","ASSET","0","0","0"
"1452 • ภาษีซื้อ","ASSET","0","0","0"
"1453 • ภาษีมูลค่าเพิ่มขอคืน","ASSET","0","0","0"
"1461 • เงินเดือนเบิกล่วงหน้า","ASSET","0","0","0"
"1471 • ค่าเดินทางเบิกล่วงหน้า","ASSET","0","0","0"
"2001 • เงินลงทุนในบริษัทร่วม บริษัทย่อย และการร่วมค้า","ASSET","0","0","0"
"2101 • เงินลงทุนระยะยาวอื่น","ASSET","0","0","0"
