"Section","Account","Amount"
"Assets","1000 • Inventory","-20"
"Assets","1001 • เงินสดในเครื่องเก็บเงิน","-88710"
"Assets","1011 • เงินสดย่อย","0"
"Assets","1021 • เงินฝากธนาคาร","53470"
"Assets","1021001 • เงินฝากธนาคารกรุงเทพ - บัญชีกระแสรายวัน 0266","0"
"Assets","1021002 • เงินฝากธนาคารกรุงเทพ - บัญชีกระแสรายวัน 0274","0"
"Assets","1021003 • เงินฝากธนาคารกรุงเทพ - บัญชีสะสมทรัพย์ 0806","0"
"Assets","1031 • เงินสดระหว่างทาง","35440"
"Assets","1041 • เงินลงทุนระยะสั้น","0"
"Assets","1051 • ตั๋วเงินรับ","0"
"Assets","1100 • Cash","0"
"Assets","1101 • ลูกหนี้การค้า - ห้างสรรพสินค้า","0"
"Assets","1101001 • ลูกหนี้การค้า - บริษัท สรรพสินค้าเซ็นทรัล จำกัด สาขาชิดลม","0"
"Assets","1110 • Card clearing","0"
"Assets","1111 • ลูกหนี้การค้า - แฟรนไชส์","0"
"Assets","1121 • ลูกหนี้การค้า - อื่น","0"
"Assets","1131 • ลูกหนี้การค้า - บริษัทที่เกี่ยวข้องกัน","0"
"Assets","1161 • เงินให้กู้ยืมระยะสั้นแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน","0"
"Assets","1301 • เครื่องจักรและอุปกรณ์","0"
"Assets","1302 • ลูกกุญแจ","0"
"Assets","1303 • วัสดุรองเท้า","0"
"Assets","1304 • แม่กุญแจ","0"
"Assets","1305 • เบ็ดเตล็ด","0"
"Assets","1306 • วัสดุสิ้นเปลือง","0"
"Assets","1307 • แบตเตอรี่","0"
"Assets","1311 • สินค้าระหว่างทาง","0"
"Assets","1312 • ค่าภาษีอากรขาเข้า","0"
"Assets","1313 • ค่าระวาง ค่าขนส่ง","0"
"Assets","1314 • ค่าประกันภัย","0"
"Assets","1315 • ค่าใช้จ่ายอื่น ๆ ในการออกของ","0"
"Assets","1321 • ชิ้นส่วนและอะไหล่","0"
"Assets","1351 • วัสดุและอุปกรณ์","0"
"Assets","1401 • ดอกเบี้ยรับค้างรับ - อื่น","0"
"Assets","1402 • ดอกเบี้ยรับค้างรับ - บริษัทที่เกี่ยวข้องกัน","0"
"Assets","1411 • ค่าเช่าจ่ายล่วงหน้า","0"
"Assets","1421 • ค่าเบี้ยประกันภัยจ่ายล่วงหน้า","0"
"Assets","1431 • ค่าใช้จ่ายล่วงหน้าอื่น ๆ","0"
"Assets","1441 • เงินมัดจำลูกหนี้อื่น","0"
"Assets","1451 • ค่าภาษีเงินได้จ่ายล่วงหน้า","0"
"Assets","1452 • ภาษีซื้อ","0"
"Assets","1453 • ภาษีมูลค่าเพิ่มขอคืน","0"
"Assets","1461 • เงินเดือนเบิกล่วงหน้า","0"
"Assets","1471 • ค่าเดินทางเบิกล่วงหน้า","0"
"Assets","2001 • เงินลงทุนในบริษัทร่วม บริษัทย่อย และการร่วมค้า","0"
"Assets","2101 • เงินลงทุนระยะยาวอื่น","0"
"Assets","2111 • เงินให้กู้ยืมระยะยาวแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน","0"
"Assets","2201 • ที่ดิน","0"
"Assets","2202 • อาคารชุด","0"
"Assets","2211 • เครื่องจักรและอุปกรณ์ในการดำเนินงาน","0"
"Assets","2212 • เครื่องตกแต่งในการดำเนินงาน","0"
"Assets","2221 • เครื่องใช้และอุปกรณ์สำนักงาน","0"
"Assets","2222 • เครื่องตกแต่งสำนักงาน","0"
"Assets","2223 • รถยนต์","0"
"Assets","2231 • สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่","0"
"Assets","2232 • สิ่งปรับปรุงสินทรัพย์ - สาขา","0"
"Assets","2235 • เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร","0"
"Assets","2236 • สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร","0"
"Assets","2240 • เครื่องจักรและอุปกรณ์ระหว่างทาง","0"
"Assets","2251 • ค่าเสื่อมราคาสะสม - อาคาร","0"
"Assets","2261 • ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ในการดำเนินงาน","0"
"Assets","2262 • ค่าเสื่อมราคาสะสม - เครื่องตกแต่งในการดำเนินงาน","0"
"Assets","2271 • ค่าเสื่อมราคาสะสม - เครื่องใช้และอุปกรณ์สำนักงาน","0"
"Assets","2272 • ค่าเสื่อมราคาสะสม - เครื่องตกแต่งสำนักงาน","0"
"Assets","2273 • ค่าเสื่อมราคาสะสม - รถยนต์","0"
"Assets","2281 • ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่","0"
"Assets","2282 • ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สาขา","0"
"Assets","2285 • ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร","0"
"Assets","2286 • ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร","0"
"Assets","3001 • เงินประกันและเงินมัดจำ","0"
"Assets","3101 • สิทธิการเช่า","0"
"Assets","3201 • ดอกเบี้ยรอการตัดบัญชี","0"
"Assets","3301 • ภาษีเงินได้ถูกหักภาษี ณ. ที่จ่าย (รอขอคืนจากกรมสรรพากร)","0"
"Assets","TOTAL","180"
"Liabilities","2100 • AP","0"
"Liabilities","4001 • เงินกู้ยืมระยะสั้นจากสถาบันการเงิน","0"
"Liabilities","4002 • ตั๋วเงินจ่าย","0"
"Liabilities","4101 • เจ้าหนี้การค้า","0"
"Liabilities","4101001 • เจ้าหนี้การค้า-บริษัท เค.ไอ.ที.เทรดดิ้ง จำกัด","0"
"Liabilities","4101002 • เจ้าหนี้การค้า-อื่น ๆ","0"
"Liabilities","4151 • เจ้าหนี้บริษัทที่เกี่ยวข้องกัน","0"
"Liabilities","4201 • เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี","0"
"Liabilities","4202 • เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน","0"
"Liabilities","4301 • เงินปันผลค้างจ่าย","0"
"Liabilities","4401 • ภาษีเงินได้นิติบุคคลค้างจ่าย","0"
"Liabilities","4501 • เงินเดือนค้างจ่าย","0"
"Liabilities","4502 • เงินสะสมพนักงาน","0"
"Liabilities","4511 • รายได้รับล่วงหน้า","0"
"Liabilities","4521 • ค่าเช่าค้างจ่าย","0"
"Liabilities","4531 • ค่าเบี้ยประกันภัยค้างจ่าย","0"
"Liabilities","4541 • ค่าโทรศัพท์ ค่าโทรสาร ค้างจ่าย","0"
"Liabilities","4551 • ค่าตรวจสอบบัญชีค้างจ่าย","0"
"Liabilities","4561 • ค่าใช้จ่ายอื่น ๆ ค้างจ่าย","0"
"Liabilities","4571 • ดอกเบี้ยจ่ายค้างจ่าย","0"
"Liabilities","4581 • ดอกเบี้ยจ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน","0"
"Liabilities","4582 • ค่าใช้จ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน","0"
"Liabilities","4601 • ภาษีขาย","0"
"Liabilities","4602 • ภาษีมูลค่าเพิ่มค้างจ่าย (ภ.พ.30)","13.08"
"Liabilities","4611 • ภาษีหัก ณ ที่จ่ายเงินเดือน (ภ.ง.ด.1)","0"
"Liabilities","4612 • ภาษีเงินได้ หัก ณ.ที่จ่ายค้างจ่าย","0"
"Liabilities","4613 • ภาษีเงินได้นิติบุคคลค้างจ่าย","0"
"Liabilities","4621 • ภาษีอากรอื่น ๆ ค้างจ่าย","0"
"Liabilities","4631 • ประกันสังคมค้างจ่าย","0"
"Liabilities","4701 • เงินกู้ยืมระยะยาวจากบุคคลหรือกิจการที่เกี่ยวข้องกัน","0"
"Liabilities","4801 • เจ้าหนี้ตามสัญญาเช่าทางการเงิน","0"
"Liabilities","4901 • ภาระผูกพันผลประโยชน์พนักงาน","0"
"Liabilities","4911 • ประมาณการหนี้สินระยะยาว","0"
"Liabilities","TOTAL","13.08"
"Equity","1 • ทุนหุ้นสามัญ","0"
"Equity","101 • สำรองตามกฎหมาย","0"
"Equity","201 • สำรองอื่น","0"
"Equity","301 • กำไร (ขาดทุน) สะสม","0"
"Equity","TOTAL","0"
"","Liabilities + Equity","13.08"
"","Difference (Assets - L+E)","166.92"
"","","Status","Out of Balance"
