Branch,ReceiptNo,SaleDate,Gross,CalculatedNet,CalculatedVAT,COGS,Tender,Status,SkipReason
SH006,REC-SH006-202605-0001,2026-05-01,1320.00,1233.64,86.36,,,SKIPPED,PERIOD_CLOSED
SH028,REC-SH028-202605-0001,2026-05-01,450.00,420.56,29.44,,,SKIPPED,PERIOD_CLOSED
SH026,REC-SH026-202605-0001,2026-05-01,460.00,429.91,30.09,,,SKIPPED,PERIOD_CLOSED
SH030,REC-SH030-202605-0001,2026-05-01,320.00,299.07,20.93,,,SKIPPED,PERIOD_CLOSED
SH010,REC-SH010-202605-0001,2026-05-01,460.00,429.91,30.09,,,SKIPPED,PERIOD_CLOSED
SH010,REC-SH010-202605-0002,2026-05-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_CLOSED
SH026,REC-SH026-202605-0002,2026-05-01,280.00,261.68,18.32,,,SKIPPED,PERIOD_CLOSED
SH024,REC-SH024-202605-0001,2026-05-01,1200.00,1121.50,78.50,,,SKIPPED,PERIOD_CLOSED
SH024,REC-SH024-202605-0002,2026-05-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_CLOSED
SH010,REC-SH010-202605-0003,2026-05-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_CLOSED
SH026,REC-SH026-202605-0003,2026-05-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0002,2026-05-01,460.00,429.91,30.09,,,SKIPPED,PERIOD_CLOSED
SH024,REC-SH024-202605-0003,2026-05-01,260.00,242.99,17.01,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0003,2026-05-01,325.00,303.74,21.26,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0004,2026-05-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_CLOSED
SH025,REC-SH025-202605-0001,2026-05-01,100.00,93.46,6.54,,,SKIPPED,PERIOD_CLOSED
SH025,REC-SH025-202605-0002,2026-05-01,150.00,140.19,9.81,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0005,2026-05-01,440.00,411.21,28.79,,,SKIPPED,PERIOD_CLOSED
SH010,REC-SH010-202605-0004,2026-05-01,1970.00,1841.12,128.88,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0006,2026-05-01,580.00,542.06,37.94,,,SKIPPED,PERIOD_CLOSED
SH025,REC-SH025-202605-0003,2026-05-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0007,2026-05-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0008,2026-05-01,300.00,280.37,19.63,,,SKIPPED,PERIOD_CLOSED
SH006,REC-SH006-202605-0009,2026-05-01,1320.00,1233.64,86.36,,,SKIPPED,PERIOD_CLOSED
